WP_000586782.1 315.5
WP_000713530.1 325.0
WP_000722315.1 188.8
WP_000846390.1 329.2
WP_000854009.1 346.1
WP_001007673.1 306.3
WP_001021775.1 339.6
WP_001046004.1 339.4
WP_001334766.1 219.6
WP_002002480.1 325.5
WP_002121386.1 330.7
WP_002783228.1 310.9
WP_002788004.1 309.9
WP_002872405.1 301.4
WP_002893358.1 298.8
WP_002934081.1 301.0
WP_003097028.1 304.0
WP_003235647.1 288.2
WP_003328240.1 281.0
WP_004295324.1 277.4
WP_004524931.1 206.6
WP_004650739.1 339.0
WP_004657207.1 366.5
WP_004683508.1 347.0
WP_004697403.1 340.6
WP_004725235.1 338.6
WP_004776204.1 347.1
WP_004825629.1 344.5
WP_004867933.1 324.8
WP_004878009.1 342.0
WP_004977701.1 341.2
WP_005011312.1 322.3
WP_005087154.1 338.1
WP_005104969.1 338.5
WP_005185807.1 350.8
WP_005227858.1 344.6
WP_006384924.1 234.0
WP_011013281.1 278.7
WP_011071128.1 379.8
WP_011707905.1 222.4
WP_012662081.1 267.2
WP_013244277.1 312.1
WP_014053563.1 277.2
WP_014845076.1 224.1
WP_016168805.1 266.9
WP_016651348.1 351.1
WP_016657654.1 340.1
WP_020848173.1 286.7
WP_032488483.1 317.6
WP_032490445.1 287.5
WP_032490761.1 201.7
WP_032495595.1 369.8
WP_032835180.1 303.0
WP_041816295.1 278.5
WP_045219048.1 241.3
WP_045219469.1 300.3
WP_048627819.1 312.8
WP_048806429.1 315.7
WP_049637206.1 223.9
WP_052266736.1 303.1
WP_056517622.1 345.7
WP_058375744.1 306.4
WP_063569909.1 236.8
WP_063861043.1 314.9
WP_063861044.1 336.5
WP_063861062.1 303.4
WP_063861237.1 218.9
WP_063861498.1 278.2
WP_063861776.1 238.4
WP_063862739.1 266.8
WP_063862765.1 343.5
WP_063864080.1 376.2
WP_063864095.1 295.6
WP_063864256.1 323.5
WP_064483990.1 331.2
WP_064808581.1 228.0
WP_070210118.1 293.3
WP_071593233.1 301.4
WP_087587939.1 366.7
WP_087587942.1 358.9
WP_099156052.1 370.5
WP_099337823.1 347.1
WP_109545048.1 335.1
WP_109545101.1 300.7
WP_109545102.1 309.0
WP_109545108.1 295.8
WP_109545111.1 301.7
WP_114699273.1 342.0
WP_114699276.1 306.4
WP_114699279.1 294.3
WP_116786836.1 326.3
WP_122630881.1 295.8
WP_128268279.1 302.4
