WP_000976513.1 576.6
WP_001159760.1 579.7
WP_001159761.1 568.6
WP_001211220.1 568.4
WP_001336292.1 565.4
WP_003093423.1 612.2
WP_004236386.1 519.4
WP_004384957.1 532.4
WP_004923134.1 541.5
WP_008815550.1 533.8
WP_010673861.1 577.0
WP_011339581.1 415.7
WP_011729443.1 524.6
WP_012477380.1 583.1
WP_012698469.1 522.3
WP_013095270.1 567.0
WP_013981172.1 569.3
WP_016809943.1 583.7
WP_029925205.1 558.8
WP_033945151.1 605.4
WP_034051940.1 531.3
WP_041692555.1 550.3
WP_042027926.1 575.2
WP_042649345.1 584.2
WP_047567658.1 569.7
WP_057691114.1 571.9
WP_057991970.1 507.2
WP_063840463.1 558.0
WP_063840465.1 557.2
WP_063840466.1 559.6
WP_063843235.1 580.9
WP_063857715.1 534.7
WP_063859750.1 577.9
WP_063859824.1 574.5
WP_063859835.1 573.6
WP_063859842.1 570.7
WP_063860495.1 579.3
WP_065102306.1 605.1
WP_068981607.1 570.0
WP_081666691.1 519.5
WP_099156042.1 588.4
WP_099982801.1 553.3
WP_099982803.1 536.8
WP_099982812.1 581.3
WP_100931733.1 561.6
WP_104009834.1 601.5
WP_104009860.1 601.0
WP_104531863.1 558.5
WP_104531865.1 518.9
WP_109791199.1 589.0
